"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"IR000407540","TEHRAN MEHRABAD, IR","2016-10-31","0.00",,"68","76","57"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-01","0.00",,"71","77","59"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-02","0.00",,"63","72",
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-03","0.01",,"51","61","38"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-04","0.00",,"53","61","44"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-05","0.00",,"58","70",
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-06","0.09",,"58","65","51"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-07","0.00",,"54","61",
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-08","0.18",,"54","64","45"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-09","0.00",,"55","64","47"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-10","0.00",,"56",,"45"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-11","0.00",,"57","68","47"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-12","0.00",,"58","71","49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-13","0.00",,"58",,"49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-14","0.00",,"61","73","49"
"IR000407540","TEHRAN MEHRABAD, IR","2016-11-15","0.00",,"60","72",
